Airmar_time,alt,cog,hdop,heading,lat,lon,pressure,sog,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-11-22 16:59:04.000000,275.329807037,300.917032962,0.9,6.1,43.9077188013,-79.445785468,1002.4,0.3704,-11.3,337.350512965,339.9,2.76327368106,5.6
2018-11-22 16:59:05.000000,275.163472975,349.029630438,0.9,5.2,43.9077199102,-79.4457865768,1002.4,1.68297393315,-11.3,344.305993874,349.3,3.6034623687,6.6
2018-11-22 16:59:06.000000,274.997138913,344.940784341,0.9,3.3,43.9077210191,-79.4457876857,1002.4,3.55273762976,-11.3,345.093411853,352.2,4.22395210749,9.6
2018-11-22 16:59:07.000000,274.720032874,341.383438471,0.9,3.5,43.9077362025,-79.445799639,1002.37139063,7.08031399756,-11.3,337.575109255,355.7,4.2904857588,12.0
2018-11-22 16:59:08.000000,274.287420715,338.031762355,0.9,359.9,43.9077711442,-79.4458268159,1002.27205292,11.2493988859,-11.3,332.43784894,359.7,4.58209382359,14.9
2018-11-22 16:59:09.000000,273.854808556,327.681072456,0.9,355.7,43.907806086,-79.4458539928,1002.17271521,15.6507520096,-11.3667986136,326.138198957,359.6,4.75546759094,19.1
2018-11-22 16:59:10.000000,273.30123261,314.635485876,0.9,351.2,43.9078320791,-79.4459052892,1002.09153239,20.1415375757,-11.5644270557,316.78378603,1.8,4.6237152962,20.7
2018-11-22 16:59:11.000000,272.574304679,300.142840955,0.9,338.8,43.9078452481,-79.445991151,1002.05993681,23.2759889821,-11.6,309.41020173,2.9,3.8748296322,20.2
2018-11-22 16:59:12.000000,271.847376748,284.904745189,0.9,338.9,43.9078584171,-79.4460770127,1002.02834123,25.7117260279,-11.6,301.880557836,3.6,3.23620896837,18.6
2018-11-22 16:59:13.000000,271.090037419,272.624033714,0.9,289.2,43.9078631543,-79.4461719013,1001.99649779,28.6077539893,-11.6,293.253577874,6.4,3.05394882833,18.8
2018-11-22 16:59:14.000000,270.239986412,263.885667703,0.9,260.8,43.9078421863,-79.4462943086,1001.96249574,32.0551169404,-11.6468397166,286.343906359,5.6,2.71896170059,21.4
2018-11-22 16:59:15.000000,269.389935404,259.256706014,0.9,260.2,43.9078212184,-79.446416716,1001.92849369,35.2517749872,-11.7133822096,280.101925665,3.7,2.41338220964,22.2
2018-11-22 16:59:16.000000,268.75989514,258.405855631,0.9,262.0,43.907799147,-79.4465459491,1001.88407593,38.2179395224,-11.7799600594,273.643874242,3.8,2.47996005936,24.1
2018-11-22 16:59:17.000000,268.628833502,257.816766758,0.9,263.2,43.9077745729,-79.446690663,1001.78577977,40.6993221759,-11.8,267.325370339,1.1,3.20558542919,28.3
2018-11-22 16:59:18.000000,268.497771864,257.466416391,0.9,259.0,43.9077499989,-79.4468353769,1001.6874836,42.7385615105,-11.8,261.478841488,1.1,3.88662664468,30.4
