"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 00:00","2020","01","01","00:00","-0.8","","-3.8","","80","","","","24","","22","","24.1","","97.96","","","","-7","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 01:00","2020","01","01","01:00","-1.0","","-4.2","","79","","","","24","","21","","24.1","","98.00","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 02:00","2020","01","01","02:00","-1.1","","-4.5","","78","","","","25","","25","","24.1","","98.01","","","","-7","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 03:00","2020","01","01","03:00","-1.5","","-4.5","","80","","","","24","","19","","24.1","","98.05","","","","-7","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 04:00","2020","01","01","04:00","-1.2","","-4.3","","80","","","","26","","27","","24.1","","98.07","","","","-8","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 05:00","2020","01","01","05:00","-1.0","","-4.7","","76","","","","25","","16","","24.1","","98.11","","","","-6","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 06:00","2020","01","01","06:00","-1.1","","-4.9","","75","","","","25","","16","","24.1","","98.15","","","","-6","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 07:00","2020","01","01","07:00","-1.3","","-5.2","","75","","","","24","","10","","24.1","","98.17","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 08:00","2020","01","01","08:00","-1.4","","-5.0","","76","","","","23","","9","","24.1","","98.22","","","","-5","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01 09:00","2020","01","01","09:00","-1.5","","-4.6","","79","","","","23","","10","","24.1","","98.25","","","","-5","","Mostly Cloudy"
