"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 00:00","2019","12","01","00:00","-2.9","","-7.6","","70","","","","9","","29","","24.1","","99.74","","","","-10","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 01:00","2019","12","01","01:00","-2.5","","-7.3","","70","","","","8","","35","","24.1","","99.69","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 02:00","2019","12","01","02:00","-2.5","","-7.2","","70","","","","9","","26","","24.1","","99.56","","","","-9","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 03:00","2019","12","01","03:00","-2.7","","-7.4","","71","","","","8","","23","","24.1","","99.55","","","","-9","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 04:00","2019","12","01","04:00","-3.3","","-8.4","","68","","","","7","","24","","24.1","","99.55","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 05:00","2019","12","01","05:00","-3.3","","-8.8","","65","","","","8","","26","","24.1","","99.43","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 06:00","2019","12","01","06:00","-3.0","","-6.7","","76","","","","8","","28","","24.1","","99.37","","","","-10","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 07:00","2019","12","01","07:00","-2.9","","-5.8","","80","","","","8","","36","","24.1","","99.25","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 08:00","2019","12","01","08:00","-3.3","","-5.6","","84","","","","8","","39","","24.1","","99.17","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 09:00","2019","12","01","09:00","-3.8","","-5.6","","88","","","","9","","30","","24.1","","99.02","","","","-11","","Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 10:00","2019","12","01","10:00","-3.4","","-4.8","","90","","","","8","","43","","24.1","","98.83","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 11:00","2019","12","01","11:00","-3.8","","-5.0","","91","","","","8","","40","","24.1","","98.67","","","","-12","","Snow"
"-79.63","43.68","TORONTO INTL A","6158731","2019-12-01 12:00","2019","12","01","12:00","-2.4","","-4.2","","88","","","","8","","48","","24.1","","98.56","","","","-11","","Snow"
