"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 00:00","2020","03","01","00:00","-4.9","","-11.4","","61","","","","29","","18","","24.1","","99.62","","","","-11","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 01:00","2020","03","01","01:00","-5.7","","-10.8","","68","","","","28","","15","","24.1","","99.67","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 02:00","2020","03","01","02:00","-5.7","","-11.0","","66","","","","29","","17","","24.1","","99.72","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 03:00","2020","03","01","03:00","-7.5","","-12.2","","70","","","","28","","9","","24.1","","99.75","","","","-12","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 04:00","2020","03","01","04:00","-6.5","","-11.1","","70","","","","17","","12","","24.1","","99.77","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 05:00","2020","03","01","05:00","-8.9","","-12.4","","76","","","","20","","12","","24.1","","99.79","","","","-15","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 06:00","2020","03","01","06:00","-8.7","","-11.8","","79","","","","20","","12","","24.1","","99.78","","","","-14","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 07:00","2020","03","01","07:00","-9.2","","-12.0","","80","","","","21","","10","","24.1","","99.81","","","","-14","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 08:00","2020","03","01","08:00","-9.7","","-12.8","","78","","","","24","","4","","24.1","","99.78","","","","-12","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 09:00","2020","03","01","09:00","-9.2","","-12.7","","76","","","","28","","13","","24.1","","99.82","","","","-15","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 10:00","2020","03","01","10:00","-9.1","","-12.2","","78","","","","26","","7","","24.1","","99.87","","","","-13","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 11:00","2020","03","01","11:00","-8.9","","-12.1","","78","","","","27","","4","","24.1","","99.90","","","","-11","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 12:00","2020","03","01","12:00","-8.9","","-12.1","","78","","","","27","","4","","24.1","","99.90","","","","-11","","Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 13:00","2020","03","01","13:00","-8.3","","-11.8","","76","","","","18","","10","","24.1","","99.92","","","","-13","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 14:00","2020","03","01","14:00","-5.1","","-9.8","","70","","","","17","","11","","24.1","","99.92","","","","-10","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 15:00","2020","03","01","15:00","-2.7","","-8.7","","63","","","","18","","11","","24.1","","99.93","","","","-7","","Mainly Clear"
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01 16:00","2020","03","01","16:00","-0.2","","-7.7","","58","","","","17","","12","","24.1","","99.89","","","","-4","","NA"
