43.82222666	-79.36999807
43.82224	-79.37000595
43.82224571	-79.37000933
43.82225857	-79.37001693
43.82226429	-79.37002031
43.82228273	-79.37003891
43.82230846	-79.37008233
43.82234059	-79.37025941
43.8223203	-79.37036722
43.82223692	-79.3706815
43.82223692	-79.3706815
43.82211516	-79.37114202
43.82207392	-79.37130611
43.82196275	-79.37174436
43.82191478	-79.37193225
43.82180394	-79.3723732
43.82175963	-79.37255517
43.8216553	-79.37301511
43.82161159	-79.37320629
43.82149898	-79.37370127
43.82133108	-79.37443902
43.82133108	-79.37443902
43.82128855	-79.37463094
43.82117492	-79.37516102
43.82117492	-79.37516102
43.82112816	-79.37538086
43.82101991	-79.37588621
43.8209096	-79.37660214
43.82088275	-79.37679788
43.82082618	-79.37726667
43.82082618	-79.37726667
43.82080687	-79.37744346
43.82076322	-79.37787776
43.82069733	-79.3785161
43.82067867	-79.37869153
43.8206253	-79.37913406
43.82060289	-79.37933794
43.8205506	-79.37981366
43.82045082	-79.38068504
43.82045082	-79.38068504
43.82039825	-79.38112688
43.82037677	-79.38130557
43.82031657	-79.38180594
43.82029348	-79.38199767
43.82023804	-79.38245962
43.82021826	-79.38263022
43.82016969	-79.38304899
43.82014855	-79.38323346
43.82010397	-79.38363737
43.82008394	-79.38381641
43.82001551	-79.3843906
43.82001551	-79.3843906
43.81995002	-79.38498652
