"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 00:00","2019","10","01","00:00","14.6","","12.5","","87","","","M","12","","10","","","M","99.50","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 01:00","2019","10","01","01:00","14.6","","12.7","","88","","","M","9","","9","","","M","99.45","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 02:00","2019","10","01","02:00","14.6","","13.1","","90","","","M","12","","8","","","M","99.38","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 03:00","2019","10","01","03:00","14.8","","13.4","","91","","","M","15","","6","","","M","99.32","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 04:00","2019","10","01","04:00","14.9","","13.7","","92","","","M","8","","5","","","M","99.29","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 05:00","2019","10","01","05:00","15.0","","14.2","","95","","","M","7","","4","","","M","99.27","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 06:00","2019","10","01","06:00","14.5","","14.1","","97","","","M","","","0","","","M","99.23","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 07:00","2019","10","01","07:00","14.3","","13.9","","98","","","M","22","","3","","","M","99.14","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 08:00","2019","10","01","08:00","14.6","","14.1","","97","","","M","10","","1","","","M","99.11","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 09:00","2019","10","01","09:00","15.6","","14.5","","93","","","M","21","","7","","","M","99.04","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 10:00","2019","10","01","10:00","14.8","","14.1","","95","","","M","13","","4","","","M","98.98","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 11:00","2019","10","01","11:00","14.4","","13.9","","97","","","M","13","","3","","","M","98.99","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 12:00","2019","10","01","12:00","14.9","","14.3","","96","","","M","33","","1","","","M","99.01","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 13:00","2019","10","01","13:00","19.3","","16.9","","86","","","M","","","0","","","M","98.97","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 14:00","2019","10","01","14:00","23.7","","19.5","","77","","","M","21","","9","","","M","98.96","","31","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 15:00","2019","10","01","15:00","25.4","","19.6","","70","","","M","22","","15","","","M","98.91","","33","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 16:00","2019","10","01","16:00","27.9","","20.6","","64","","","M","21","","10","","","M","98.81","","36","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 17:00","2019","10","01","17:00","30.1","","20.4","","55","","","M","22","","25","","","M","98.79","","38","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 18:00","2019","10","01","18:00","30.0","","20.1","","55","","","M","24","","19","","","M","98.76","","38","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 19:00","2019","10","01","19:00","28.9","","20.7","","60","","","M","27","","8","","","M","98.72","","37","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 20:00","2019","10","01","20:00","25.9","","21.8","","78","","","M","29","","14","","","M","98.76","","35","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 21:00","2019","10","01","21:00","21.0","","19.7","","92","","","M","25","","5","","","M","98.77","","28","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 22:00","2019","10","01","22:00","22.0","","20.9","","93","","","M","23","","6","","","M","98.81","","30","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-01 23:00","2019","10","01","23:00","22.4","","21.2","","93","","","M","25","","7","","","M","98.84","","31","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 00:00","2019","10","02","00:00","22.0","","21.1","","94","","","M","24","","4","","","M","98.84","","31","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 01:00","2019","10","02","01:00","21.9","","20.6","","92","","","M","25","","14","","","M","98.85","","30","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 02:00","2019","10","02","02:00","21.2","","20.1","","93","","","M","27","","10","","","M","98.82","","29","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 03:00","2019","10","02","03:00","20.9","","19.8","","93","","","M","30","","7","","","M","98.78","","28","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 04:00","2019","10","02","04:00","20.2","","19.4","","95","","","M","22","","2","","","M","98.77","","27","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 05:00","2019","10","02","05:00","19.6","","18.9","","96","","","M","19","","7","","","M","98.74","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 06:00","2019","10","02","06:00","19.7","","19.1","","96","","","M","25","","4","","","M","98.75","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 07:00","2019","10","02","07:00","17.5","","15.8","","90","","","M","34","","28","","","M","98.80","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-10-02 08:00","2019","10","02","08:00","16.3","","14.9","","92","","","M","35","","19","","","M","98.75","","","","","","NA"
