"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 00:00","2019","09","01","00:00","18.7","","8.3","","50","","","M","36","","9","","","M","100.27","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 01:00","2019","09","01","01:00","17.6","","9.2","","58","","","M","14","","1","","","M","100.29","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 02:00","2019","09","01","02:00","17.6","","10.0","","61","","","M","13","","5","","","M","100.30","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 03:00","2019","09","01","03:00","16.2","","10.2","","68","","","M","35","","4","","","M","100.30","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 04:00","2019","09","01","04:00","15.8","","9.4","","66","","","M","3","","9","","","M","100.26","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 05:00","2019","09","01","05:00","14.8","","9.4","","70","","","M","32","","4","","","M","100.27","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 06:00","2019","09","01","06:00","13.5","","9.9","","79","","","M","2","","7","","","M","100.26","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 07:00","2019","09","01","07:00","13.9","","9.9","","76","","","M","5","","8","","","M","100.23","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 08:00","2019","09","01","08:00","13.4","","9.7","","78","","","M","2","","2","","","M","100.23","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 09:00","2019","09","01","09:00","13.2","","9.6","","79","","","M","5","","3","","","M","100.21","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 10:00","2019","09","01","10:00","12.8","","9.7","","81","","","M","2","","5","","","M","100.19","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 11:00","2019","09","01","11:00","13.2","","9.9","","80","","","M","1","","3","","","M","100.20","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 12:00","2019","09","01","12:00","14.6","","9.9","","73","","","M","4","","9","","","M","100.15","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 13:00","2019","09","01","13:00","16.3","","11.1","","71","","","M","7","","10","","","M","100.14","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 14:00","2019","09","01","14:00","17.5","","11.4","","67","","","M","10","","14","","","M","100.10","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-09-01 15:00","2019","09","01","15:00","18.3","","12.6","","69","","","M","10","","15","","","M","100.06","","","","","","NA"
