"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 00:00","2019","12","01","00:00","-3.9","","-8.4","","71","","","M","8","","13","","","M","99.46","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 01:00","2019","12","01","01:00","-4.0","","-9.8","","64","","","M","8","","13","","","M","99.46","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 02:00","2019","12","01","02:00","-4.2","","-10.7","","61","","","M","7","","14","","","M","99.33","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 03:00","2019","12","01","03:00","-4.1","","-11.6","","56","","","M","8","","13","","","M","99.27","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 04:00","2019","12","01","04:00","-4.3","","-12.4","","54","","","M","7","","17","","","M","99.28","","","","-10","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 05:00","2019","12","01","05:00","-4.8","","-12.4","","55","","","M","9","","16","","","M","99.26","","","","-11","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 06:00","2019","12","01","06:00","-5.8","","-11.9","","62","","","M","8","","20","","","M","99.12","","","","-13","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 07:00","2019","12","01","07:00","-5.9","","-11.1","","67","","","M","8","","26","","","M","99.01","","","","-14","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 08:00","2019","12","01","08:00","-6.0","","-9.9","","74","","","M","8","","26","","","M","98.96","","","","-14","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 09:00","2019","12","01","09:00","-6.2","","-9.5","","78","","","M","9","","26","","","M","98.81","","","","-14","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 10:00","2019","12","01","10:00","-6.6","","-9.6","","79","","","M","9","","30","","","M","98.72","","","","-15","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 11:00","2019","12","01","11:00","-6.4","","-8.7","","84","","","M","8","","21","","","M","98.54","","","","-13","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 12:00","2019","12","01","12:00","-6.5","","-8.6","","85","","","M","9","","32","","","M","98.41","","","","-15","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 13:00","2019","12","01","13:00","-6.8","","-9.4","","81","","","M","8","","27","","","M","98.35","","","","-15","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 14:00","2019","12","01","14:00","-6.2","","-8.9","","81","","","M","9","","31","","","M","98.31","","","","-15","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2019-12-01 15:00","2019","12","01","15:00","-5.5","","-8.1","","82","","","M","8","","29","","","M","98.10","","","","-14","","NA"
