"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 00:00","2020","02","01","00:00","-1.9","","-3.1","","92","","","M","15","","8","","","M","99.78","","","","-5","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 01:00","2020","02","01","01:00","-2.0","","-2.9","","94","","","M","10","","4","","","M","99.78","","","","-3","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 02:00","2020","02","01","02:00","-2.1","","-3.0","","93","","","M","7","","4","","","M","99.75","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 03:00","2020","02","01","03:00","-2.3","","-3.2","","94","","","M","6","","2","","","M","99.68","","","","-3","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 04:00","2020","02","01","04:00","-2.3","","-3.2","","94","","","M","7","","4","","","M","99.64","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 05:00","2020","02","01","05:00","-2.6","","-3.4","","94","","","M","3","","3","","","M","99.58","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 06:00","2020","02","01","06:00","-2.9","","-3.6","","95","","","M","35","","4","","","M","99.52","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 07:00","2020","02","01","07:00","-2.8","","-3.6","","95","","","M","8","","3","","","M","99.45","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 08:00","2020","02","01","08:00","-3.5","","-4.0","","96","","","M","0","","1","","","M","99.42","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 09:00","2020","02","01","09:00","-3.1","","-3.7","","96","","","M","27","","2","","","M","99.39","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 10:00","2020","02","01","10:00","-2.8","","-3.9","","92","","","M","8","","1","","","M","99.32","","","","-3","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 11:00","2020","02","01","11:00","-2.8","","-4.2","","90","","","M","15","","3","","","M","99.27","","","","-4","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-02-01 12:00","2020","02","01","12:00","-2.8","","-4.3","","89","","","M","22","","1","","","M","99.25","","","","-3","","NA"
