x,y
1154.6566996326437,773.8706148536876
1155.6115924124979,800.791612076452
1156.566485192352,827.7126092992164
1157.5213779722062,854.6336065219808
1158.4762707520601,881.5546037447452
1159.4311635319143,908.4756009675096
1160.3860563117685,935.3965981902741
1161.3409490916226,962.3175954130385
1162.2958418714768,989.2385926358029
1163.250734651331,1016.1595898585673
1164.205627431185,1043.0805870813317
1165.160520211039,1070.0015843040962
1166.1154129908932,1096.9225815268605
1167.0703057707474,1123.843578749625
1168.0251985506015,1150.7645759723894
1168.9800913304557,1177.685573195154
1169.9349841103096,1204.6065704179182
1170.8898768901638,1231.5275676406827
1171.844769670018,1258.448564863447
1172.7996624498721,1285.3695620862115
1173.7545552297263,1312.2905593089758
1174.7094480095805,1339.2115565317404
1175.6643407894344,1366.132553754505
1176.6192335692886,1393.0535509772692
1177.5741263491427,1419.9745482000335
1178.5290191289969,1446.895545422798
1179.483911908851,1473.8165426455625
1180.4388046887052,1500.7375398683268
1181.3936974685594,1527.6585370910911
1182.3485902484133,1554.5795343138557
1183.3034830282675,1581.5005315366202
1184.2583758081216,1608.4215287593845
1185.2132685879758,1635.3425259821488
1186.16816136783,1662.2635232049133
1187.1230541476841,1689.1845204276779
1188.077946927538,1716.1055176504422
1189.0328397073922,1743.0265148732065
1189.9877324872464,1769.947512095971
1190.9426252671005,1796.8685093187355
1191.8975180469547,1823.7895065414998
1192.8524108268089,1850.7105037642643
1193.8073036066628,1877.6315009870286
1194.762196386517,1904.5524982097932
1195.7170891663711,1931.4734954325575
1196.6719819462253,1958.394492655322
1197.6268747260794,1985.3154898780863
1198.5817675059336,2012.2364871008508
1199.5366602857875,2039.157484323615
1200.4915530656417,2066.0784815463794
1201.4464458454959,2092.999478769144
1202.40133862535,2119.9204759919085
1203.3562314052042,2146.841473214673
1204.3111241850584,2173.7624704374375
1205.2660169649125,2200.6834676602016
1206.2209097447665,2227.604464882966
1207.1758025246206,2254.52546210573
1208.1306953044748,2281.4464593284947
1209.085588084329,2308.3674565512592
1210.040480864183,2335.2884537740238
1210.9953736440373,2362.2094509967883
1211.9502664238912,2389.130448219553
1212.9051592037454,2416.051445442317
1213.8600519835995,2442.9724426650814
1214.8149447634537,2469.8934398878455
1215.7698375433079,2496.81443711061
1216.724730323162,2523.7354343333745
1217.679623103016,2550.656431556139
1218.6345158828701,2577.5774287789036
1219.5894086627243,2604.498426001668
1220.5443014425784,2631.4194232244326
1221.4991942224326,2658.3404204471967
1222.4540870022868,2685.2614176699612
1223.4089797821407,2712.1824148927253
1224.3638725619949,2739.10341211549
1225.318765341849,2766.0244093382544
1226.2736581217032,2792.945406561019
1227.2285509015574,2819.8664037837834
1228.1834436814115,2846.7874010065475
1229.1383364612657,2873.708398229312
1230.0932292411196,2900.6293954520766
1231.0481220209738,2927.550392674841
1232.003014800828,2954.471389897605
1232.957907580682,2981.3923871203697
1233.9128003605363,3008.313384343134
1234.8676931403904,3035.2343815658987
1235.8225859202444,3062.155378788663
1236.7774787000985,3089.0763760114273
1237.7323714799527,3115.997373234192
1238.6872642598069,3142.9183704569564
1239.642157039661,3169.8393676797205
1240.5970498195152,3196.760364902485
1241.551942599369,3223.6813621252495
1242.5068353792233,3250.602359348014
1243.4617281590774,3277.523356570778
1244.4166209389316,3304.4443537935426
1245.3715137187858,3331.365351016307
1246.32640649864,3358.2863482390717
1247.2812992784939,3385.207345461836
1248.236192058348,3412.1283426846003
1249.1910848382022,3439.049339907365
1250.1459776180563,3465.9703371301293
