time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2018-08-17T06:45:24.606Z,43.783200,-79.469053,147.38287353515625,5.36,154.7,0.92,0,gps,,,,,,,,98,
2018-08-17T06:45:29.805Z,43.783259,-79.469041,153.4976806640625,9.648001,339.0,0.32,0,gps,0.9,1.3,1.5,-41.9,,,,98,
2018-08-17T06:45:34.000Z,43.783205,-79.469087,131.36700439453125,6.432,,0.0,0,gps,1.1,1.7,2.1,-41.9,,,,98,
2018-08-17T06:45:36.628Z,43.783189,-79.469056,124.6617431640625,7.504,,0.0,14,gps,0.8,0.8,1.2,-41.9,,,,98,
2018-08-17T06:45:39.760Z,43.783155,-79.469042,128.63836669921875,8.576,,0.0,14,gps,,,,-41.9,,,,98,
2018-08-17T06:45:42.908Z,43.783140,-79.469002,135.32147216796875,6.432,,0.0,12,gps,,,,-41.9,,,,98,
2018-08-17T06:45:46.073Z,43.783162,-79.469038,141.610595703125,6.432,,0.0,13,gps,,,,-41.9,,,,98,
2018-08-17T06:45:49.256Z,43.783164,-79.469054,146.01165771484375,4.288,,0.0,14,gps,,,,-41.9,,,,98,
2018-08-17T06:45:52.393Z,43.783095,-79.469162,144.575439453125,4.288,212.3,3.46,15,gps,,,,-41.9,,,,98,
2018-08-17T06:45:55.540Z,43.783017,-79.469219,147.6026611328125,6.432,214.4,3.62,13,gps,,,,-41.9,,,,98,
2018-08-17T06:45:58.692Z,43.782999,-79.469318,150.850830078125,6.432,217.7,3.3,14,gps,,,,-41.9,,,,98,
2018-08-17T06:46:01.869Z,43.782911,-79.469396,148.512451171875,6.432,210.3,3.54,14,gps,,,,-41.9,,,,98,
2018-08-17T06:46:05.042Z,43.782773,-79.469477,153.72625732421875,5.36,186.9,2.73,14,gps,,,,-41.9,,,,98,
2018-08-17T06:46:08.195Z,43.782692,-79.469481,151.32098388671875,5.36,183.1,2.52,16,gps,,,,-41.9,,,,98,
2018-08-17T06:46:11.365Z,43.782627,-79.469480,154.05377197265625,3.216,187.8,1.71,15,gps,,,,-41.9,,,,98,
2018-08-17T06:46:14.560Z,43.782598,-79.469485,153.04412841796875,5.36,188.6,2.26,15,gps,,,,-41.9,,,,98,
2018-08-17T06:46:17.711Z,43.782525,-79.469483,154.6982421875,9.648001,178.4,2.15,16,gps,,,,-41.9,,,,98,
2018-08-17T06:46:20.872Z,43.782490,-79.469529,156.63031005859375,8.576,184.1,2.66,14,gps,,,,-41.9,,,,98,
2018-08-17T06:46:24.039Z,43.782391,-79.469519,149.7005615234375,8.576,170.6,3.52,6,gps,,,,-41.9,,,,98,
2018-08-17T06:46:27.191Z,43.782281,-79.469493,148.52142333984375,9.648001,175.4,3.39,13,gps,0.9,0.7,1.2,-41.9,,,,98,
2018-08-17T06:46:30.365Z,43.782179,-79.469495,150.4991455078125,9.648001,181.5,3.87,12,gps,,,,-41.9,,,,98,
2018-08-17T06:46:35.000Z,43.781991,-79.469476,158.80072021484375,12.864,170.1,3.69,0,gps,,,,-41.9,,,,98,
2018-08-17T06:46:39.000Z,43.781832,-79.469399,160.22119140625,10.72,169.2,4.33,0,gps,1.0,0.8,1.3,-41.9,,,,98,
2018-08-17T06:46:43.000Z,43.781666,-79.469382,161.7061767578125,10.72,172.7,4.58,0,gps,1.0,0.8,1.3,-41.9,,,,98,
2018-08-17T06:46:45.669Z,43.781538,-79.469348,162.717041015625,9.648001,170.9,5.09,11,gps,0.9,0.8,1.2,-41.9,,,,98,
2018-08-17T06:46:48.823Z,43.781405,-79.469308,163.0147705078125,9.648001,173.3,4.83,12,gps,,,,-41.9,,,,98,
2018-08-17T06:46:53.000Z,43.781108,-79.469211,155.9705810546875,5.36,191.7,3.25,0,gps,,,,-41.9,,,,98,
2018-08-17T06:46:55.756Z,43.781019,-79.469216,150.133544921875,5.36,201.8,1.96,15,gps,0.7,0.7,1.0,-41.9,,,,98,
2018-08-17T06:46:58.903Z,43.780950,-79.469280,149.10809326171875,7.504,178.3,2.48,15,gps,,,,-41.9,,,,98,
2018-08-17T06:47:02.353Z,43.780909,-79.469263,151.1439208984375,9.648001,131.8,1.56,13,gps,,,,-41.9,,,,98,
2018-08-17T06:47:05.507Z,43.780851,-79.469223,153.51568603515625,9.648001,141.7,2.87,15,gps,,,,-41.9,,,,98,
2018-08-17T06:47:08.647Z,43.780836,-79.469194,154.44195556640625,7.504,128.3,2.33,15,gps,,,,-41.9,,,,98,
2018-08-17T06:47:13.000Z,43.780764,-79.469005,155.45379638671875,9.648001,124.1,3.77,0,gps,,,,-41.9,,,,98,
