EPOCH_TIME ALARM_STATUS INST_STATUS CavityPressure CavityTemp DasTemp EtalonTemp WarmBoxTemp species MPVPosition OutletValve solenoid_valves C2H2 CH4 H2O GPS_ABS_LAT GPS_ABS_LONG WS_PRESSURE WS_REL_HUMIDITY WS_TEMP WS_WIND_DIRECTION WS_WIND_SPEED GPS_FIT WS_WIND_LON WS_WIND_LAT WS_COS_HEADING WS_SIN_HEADING CAR_SPEED
1534488858.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 414.82934321 1.9472513631 1.9811697132 43.780744 -79.468936 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488861.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 414.02521668 1.9472513631 1.9780752155 43.780744 -79.468936 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488877.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 413.57405542 1.9489525921 1.9836539433 43.780742 -79.468934 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488880.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 414.30371223 1.9489525921 1.9851963118 43.780742 -79.468934 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488888.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 414.82091593 1.9484444894 1.9896630601 43.780742 -79.468934 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488893.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 415.93275488 1.9476864823 1.9802367589 43.780799 -79.469066 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488896.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 415.1607934 1.9476864823 1.9918768996 43.780837 -79.469198 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488909.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 414.58784133 1.9516328872 1.9929174076 43.780821 -79.469668 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488919.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 416.64108745 1.9630553976 1.9982311414 43.781251 -79.469939 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488924.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 420.58387913 1.9594731129 1.9949041468 43.781662 -79.469974 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488931.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 414.33665088 1.9519758894 2.0128426111 43.782638 -79.470231 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488935.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 411.90116515 1.9446142734 1.998206924 43.783001 -79.470227 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488940.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 413.10439184 1.9493667839 2.0018387709 43.783522 -79.470167 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488943.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 413.30855152 1.9493667839 2.0031607303 43.783863 -79.470112 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488947.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 412.28570347 1.9475838745 2.0054476367 43.784189 -79.470109 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488960.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 413.88985659 1.9437123626 2.0116649744 43.785687 -79.470053 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488963.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 415.04722853 1.9455850642 2.0098639089 43.786001 -79.470037 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488966.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 417.92780997 1.9455850642 2.0210771464 43.78624 -79.47006 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488974.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 415.98358412 1.9468129888 2.0178659279 43.786842 -79.470106 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488978.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 415.0191858 1.9463168305 2.020704244 43.786958 -79.470116 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488982.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 418.44472879 1.9464082231 2.0193597876 43.787006 -79.470118 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488986.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 413.4993168 1.9463757829 2.0187198284 43.786985 -79.470082 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488990.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 415.4995292 1.9458198655 2.0193736331 43.786991 -79.470094 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534488999.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 416.29454236 1.9457773705 2.0243546979 43.787021 -79.470088 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489002.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 416.31709872 1.9457773705 2.0306976617 43.787057 -79.470098 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489005.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 415.28034745 1.9466668226 2.0337369367 43.787186 -79.470267 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489015.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 431.9461908 1.9447209643 2.0260675751 43.786965 -79.471343 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489018.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 448.26241136 1.9447209643 2.0278562072 43.786902 -79.471754 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489022.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 447.09643715 1.95129 2.0293730749 43.78681 -79.472194 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489031.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 427.91287411 1.9461047175 2.0394962636 43.786543 -79.473583 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489034.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 427.16912897 1.9461047175 2.040992635 43.786418 -79.474035 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489038.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 421.68675482 1.9459174719 2.0406262363 43.786342 -79.474496 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489047.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 417.74936108 1.9568841712 2.0420433724 43.78602 -79.476017 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489050.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 420.35577565 1.9568841712 2.0502820051 43.7859 -79.476471 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489054.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 423.05022927 2.0836340282 2.0428900444 43.785783 -79.476898 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489063.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 418.0806977 2.0160121682 2.0509642578 43.785469 -79.478248 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489066.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 413.75624546 2.0160121682 2.0530920501 43.785372 -79.478687 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
1534489079.0 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan 414.1676374 2.0309406147 2.0589034086 43.784841 -79.48067 Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan Nan
