2018-08-16 02:13:15.600000,43.7924818397,-79.4729012083,168.600006104,25.9,112.105184575,1.87777777778,992.744444444,nan,2018-08-16 02:13:15.600000,1.93542491369,425.87146109,nan,22874.4174447,2018-08-16 02:13:15.600000;
2018-08-16 02:13:35.599999,43.7924816854,-79.4732985631,168.600006104,25.9,112.967352367,4.125,992.6625,nan,2018-08-16 02:13:35.599999,1.9641494876,400.993017486,nan,22928.7767428,2018-08-16 02:13:35.599999;
2018-08-16 02:13:51.699999,43.7924822252,-79.4736336599,168.600006104,25.9,165.212878289,6.48888888889,992.444444444,nan,2018-08-16 02:13:51.699999,1.98989314117,396.710050171,nan,22938.0822291,2018-08-16 02:13:51.699999;
2018-08-16 02:14:10.200000,43.7931503383,-79.4742435738,171.600006104,25.9,193.337516322,1.36666666667,992.455555556,nan,2018-08-16 02:14:10.200000,2.0085690579,398.598428234,nan,23095.2384038,2018-08-16 02:14:10.200000;
2018-08-16 02:14:27.299999,43.793290006,-79.474298358,171.600006104,25.9,82.9394355822,0.966666666667,992.5,nan,2018-08-16 02:14:27.299999,2.02441500143,409.026398539,nan,23281.023384,2018-08-16 02:14:27.299999;
2018-08-16 02:14:46.100000,43.793290006,-79.474298358,171.518462666,25.9,126.189701433,1.1,992.5,nan,2018-08-16 02:14:46.100000,2.03185822572,437.905513885,nan,23370.9298795,2018-08-16 02:14:46.100000;
2018-08-16 02:15:02,43.793290006,-79.474298358,171.399993896,25.9,76.7367846887,0.511111111111,992.5,nan,2018-08-16 02:15:02,2.03920156235,431.471802438,nan,23373.7480628,2018-08-16 02:15:02;
2018-08-16 02:15:18.899999,43.793290006,-79.474298358,171.399993896,25.9,99.4811441103,0.6625,992.5,nan,2018-08-16 02:15:18.899999,2.03475472542,416.967173149,nan,23511.0456846,2018-08-16 02:15:18.899999;
2018-08-16 02:15:35.400000,43.793290006,-79.474298358,171.399993896,25.9,124.255162709,0.825,992.5,nan,2018-08-16 02:15:35.400000,2.03494005572,406.209247344,nan,23148.4007746,2018-08-16 02:15:35.400000;
2018-08-16 02:15:51.199999,43.793290006,-79.474298358,171.399993896,25.9,121.069286903,1.3,992.5,nan,2018-08-16 02:15:51.199999,2.03268630665,396.935125666,nan,23105.2964429,2018-08-16 02:15:51.199999;
2018-08-16 02:16:07.500000,43.793290006,-79.474298358,171.399993896,25.9,79.1455924669,1.3,992.5,nan,2018-08-16 02:16:07.500000,2.03478733621,397.969494618,nan,23318.1388468,2018-08-16 02:16:07.500000;
2018-08-16 02:16:23.700000,43.793290006,-79.474298358,171.399993896,25.9,132.59447692,0.8,992.5,nan,2018-08-16 02:16:23.700000,2.03742074785,410.499921553,nan,23457.9783333,2018-08-16 02:16:23.700000;
2018-08-16 02:16:39.899999,43.7933830554,-79.4743669014,171.399993896,25.9,145.667161734,5.15555555556,992.422222222,nan,2018-08-16 02:16:39.899999,2.03308864837,395.761732555,nan,23242.4543202,2018-08-16 02:16:39.899999;
2018-08-16 02:16:59,43.7936712932,-79.4749689968,171.399993896,25.9,156.364594667,6.925,992.3,nan,2018-08-16 02:16:59,2.03481323658,395.934419469,nan,22878.0445777,2018-08-16 02:16:59;
2018-08-16 02:17:15.399999,43.7943069125,-79.4758552546,171.399993896,25.9,114.983280954,7.425,992.125,nan,2018-08-16 02:17:15.399999,2.03662812396,396.809546118,nan,22753.930693,2018-08-16 02:17:15.399999;
2018-08-16 02:17:31.800000,43.7943667872,-79.4771790085,171.399993896,25.9,35.4940353482,7.8375,992.0,nan,2018-08-16 02:17:31.800000,2.03831368264,396.83195778,nan,22948.8623922,2018-08-16 02:17:31.800000;
2018-08-16 02:17:47.899999,43.7933347654,-79.4775280729,171.399993896,25.9,304.631479102,2.28888888889,992.155555556,nan,2018-08-16 02:17:47.899999,2.03995917482,403.508005392,nan,23199.5085182,2018-08-16 02:17:47.899999;
2018-08-16 02:18:05.100000,43.7931696754,-79.4770123596,171.399993896,25.9,283.182378854,6.65,992.1375,nan,2018-08-16 02:18:05.100000,2.0415015723,397.673581343,nan,23447.7133573,2018-08-16 02:18:05.100000;
2018-08-16 02:18:21.199999,43.7930058595,-79.4755374547,171.399993896,25.85,330.793017117,6.425,992.1875,nan,2018-08-16 02:18:21.199999,2.05176893154,397.922978761,nan,23553.3985581,2018-08-16 02:18:21.199999;
2018-08-16 02:18:37.300000,43.7924234154,-79.4751143626,171.399993896,25.8,297.110138214,4.9125,992.2875,nan,2018-08-16 02:18:37.300000,2.04516681128,399.894948163,nan,23740.1286154,2018-08-16 02:18:37.300000;
2018-08-16 02:18:53.399999,43.7923172666,-79.4740579009,171.399993896,25.8,267.280731677,6.2,992.3125,nan,2018-08-16 02:18:53.399999,2.04093111858,400.1799924,nan,23816.5449474,2018-08-16 02:18:53.399999;
2018-08-16 02:19:09.600000,43.7922996171,-79.4726038724,171.399993896,25.8,270.22655971,5.375,992.7375,nan,2018-08-16 02:19:09.600000,2.04690208965,406.636622161,nan,24082.8410225,2018-08-16 02:19:09.600000;
2018-08-16 02:19:26,43.7922791024,-79.4719953605,171.399993896,25.8,124.357622051,0.85,992.9875,nan,2018-08-16 02:19:26,2.04568237197,403.809120949,nan,24226.7230788,2018-08-16 02:19:26;
2018-08-16 02:19:42.199999,43.7922707805,-79.4716723384,171.399993896,25.8,105.714139687,0.55,993.0,nan,2018-08-16 02:19:42.199999,2.06294034052,415.653330089,nan,24330.592184,2018-08-16 02:19:42.199999;
